MATNR,WERKS,Menge,MEINS,Budat,Netpr,WAERS,KOSTL,Ebeln
MAT-001,P001,1000,L,2024-01-15,0.85,EUR,CC-100,PO-2024-001
MAT-002,P001,500,L,2024-01-20,1.25,EUR,CC-100,PO-2024-002
MAT-001,P001,1000,L,2024-01-15,0.85,EUR,CC-100,PO-2024-001
MAT-003,P002,2500,kg,2024-02-10,1250.50,EUR,CC-200,PO-2024-003
MAT-004,P002,1.5,m³,2024-02-15,2500.00,EUR,CC-200,PO-2024-004
MAT-005,P003,100,t,2024-03-01,50000,EUR,CC-300,PO-2024-005
MAT-006,P001,,L,2024-03-05,1.50,EUR,CC-100,PO-2024-006
MAT-007,P002,750,KG,2024-03-10,900.75,EUR,CC-200,PO-2024-007
MAT-008,P003,3500,Liter,2024-03-12,2.10,EUR,CC-300,PO-2024-008
MAT-009,P001,2000,L,2024-04-01,0.95,EUR,CC-100,
